plataforma,rango_edad,pct_F,pct_M,pct_total
facebook,Menor de 19 años,9.04,8.67,17.71
facebook,20 a 35 años,23.95,23.67,47.62
facebook,36 a 45 años,6.43,5.96,12.4
facebook,46 a 55 años,4.57,4.1,8.67
facebook,Mayor de 55 años,7.46,6.15,13.61
instagram,Menor de 19 años,11.02,9.12,20.13
instagram,20 a 35 años,28.02,23.65,51.66
instagram,36 a 45 años,6.27,4.75,11.02
instagram,46 a 55 años,4.37,2.75,7.12
instagram,Mayor de 55 años,6.08,3.99,10.07
messenger_proxy_whatsapp,Menor de 19 años,8.0,8.28,16.28
messenger_proxy_whatsapp,20 a 35 años,23.44,23.81,47.26
messenger_proxy_whatsapp,36 a 45 años,6.79,6.33,13.12
messenger_proxy_whatsapp,46 a 55 años,4.84,4.37,9.21
messenger_proxy_whatsapp,Mayor de 55 años,7.81,6.33,14.14
