rango_edad,plataforma,pct_mix_relativo
Menor de 19 años,facebook,32.7
Menor de 19 años,instagram,37.2
Menor de 19 años,messenger_proxy_whatsapp,30.1
20 a 35 años,facebook,32.5
20 a 35 años,instagram,35.3
20 a 35 años,messenger_proxy_whatsapp,32.2
36 a 45 años,facebook,33.9
36 a 45 años,instagram,30.2
36 a 45 años,messenger_proxy_whatsapp,35.9
46 a 55 años,facebook,34.7
46 a 55 años,instagram,28.5
46 a 55 años,messenger_proxy_whatsapp,36.8
Mayor de 55 años,facebook,36.0
Mayor de 55 años,instagram,26.6
Mayor de 55 años,messenger_proxy_whatsapp,37.4
