clase,variable,categoria,pct
0,CATEGORIA,A,99.99
0,CATEGORIA,B,0.01
0,CATEGORIA,C,0.0
1,CATEGORIA,A,100.0
1,CATEGORIA,B,0.0
2,CATEGORIA,A,99.91
2,CATEGORIA,B,0.09
3,CATEGORIA,B,100.0
4,CATEGORIA,A,40.73
4,CATEGORIA,C,31.59
4,CATEGORIA,B,27.68
5,CATEGORIA,Sin dato,68.25
5,CATEGORIA,A,28.0
5,CATEGORIA,B,2.44
5,CATEGORIA,C,1.31
6,CATEGORIA,A,99.93
6,CATEGORIA,B,0.07
6,CATEGORIA,C,0.0
7,CATEGORIA,A,63.36
7,CATEGORIA,B,23.19
7,CATEGORIA,C,13.45
8,CATEGORIA,A,59.61
8,CATEGORIA,B,28.38
8,CATEGORIA,C,12.0
9,CATEGORIA,A,45.28
9,CATEGORIA,B,27.53
9,CATEGORIA,C,27.19
10,CATEGORIA,A,99.07
10,CATEGORIA,B,0.92
10,CATEGORIA,C,0.0
11,CATEGORIA,A,66.23
11,CATEGORIA,B,27.72
11,CATEGORIA,C,6.05
0,CIUDAD_GRUPO,Sin dato,47.7
0,CIUDAD_GRUPO,Bogotá D.C.,40.16
0,CIUDAD_GRUPO,Región metropolitana,7.96
0,CIUDAD_GRUPO,Otro municipio de Cundinamarca,2.17
0,CIUDAD_GRUPO,Otro departamento,2.0
1,CIUDAD_GRUPO,Sin dato,99.94
1,CIUDAD_GRUPO,Otro departamento,0.04
1,CIUDAD_GRUPO,Otro municipio de Cundinamarca,0.02
2,CIUDAD_GRUPO,Sin dato,99.46
2,CIUDAD_GRUPO,Bogotá D.C.,0.54
2,CIUDAD_GRUPO,Otro municipio de Cundinamarca,0.0
2,CIUDAD_GRUPO,Región metropolitana,0.0
3,CIUDAD_GRUPO,Sin dato,54.57
3,CIUDAD_GRUPO,Bogotá D.C.,38.25
3,CIUDAD_GRUPO,Región metropolitana,3.21
3,CIUDAD_GRUPO,Otro municipio de Cundinamarca,2.5
3,CIUDAD_GRUPO,Otro departamento,1.47
4,CIUDAD_GRUPO,Bogotá D.C.,55.38
4,CIUDAD_GRUPO,Sin dato,36.0
4,CIUDAD_GRUPO,Región metropolitana,5.57
4,CIUDAD_GRUPO,Otro municipio de Cundinamarca,1.58
4,CIUDAD_GRUPO,Otro departamento,1.47
5,CIUDAD_GRUPO,Sin dato,99.29
5,CIUDAD_GRUPO,Bogotá D.C.,0.54
5,CIUDAD_GRUPO,Región metropolitana,0.09
5,CIUDAD_GRUPO,Otro departamento,0.05
5,CIUDAD_GRUPO,Otro municipio de Cundinamarca,0.02
6,CIUDAD_GRUPO,Sin dato,43.91
6,CIUDAD_GRUPO,Bogotá D.C.,42.37
6,CIUDAD_GRUPO,Región metropolitana,8.35
6,CIUDAD_GRUPO,Otro municipio de Cundinamarca,2.9
6,CIUDAD_GRUPO,Otro departamento,2.46
7,CIUDAD_GRUPO,Sin dato,75.32
7,CIUDAD_GRUPO,Bogotá D.C.,21.96
7,CIUDAD_GRUPO,Región metropolitana,2.03
7,CIUDAD_GRUPO,Otro departamento,0.44
7,CIUDAD_GRUPO,Otro municipio de Cundinamarca,0.25
8,CIUDAD_GRUPO,Sin dato,69.02
8,CIUDAD_GRUPO,Bogotá D.C.,26.61
8,CIUDAD_GRUPO,Región metropolitana,3.2
8,CIUDAD_GRUPO,Otro departamento,0.62
8,CIUDAD_GRUPO,Otro municipio de Cundinamarca,0.54
9,CIUDAD_GRUPO,Bogotá D.C.,52.97
9,CIUDAD_GRUPO,Sin dato,36.0
9,CIUDAD_GRUPO,Región metropolitana,6.58
9,CIUDAD_GRUPO,Otro departamento,2.97
9,CIUDAD_GRUPO,Otro municipio de Cundinamarca,1.49
10,CIUDAD_GRUPO,Bogotá D.C.,49.17
10,CIUDAD_GRUPO,Sin dato,42.26
10,CIUDAD_GRUPO,Región metropolitana,4.98
10,CIUDAD_GRUPO,Otro municipio de Cundinamarca,2.01
10,CIUDAD_GRUPO,Otro departamento,1.59
11,CIUDAD_GRUPO,Bogotá D.C.,43.92
11,CIUDAD_GRUPO,Sin dato,42.46
11,CIUDAD_GRUPO,Región metropolitana,10.3
11,CIUDAD_GRUPO,Otro departamento,1.79
11,CIUDAD_GRUPO,Otro municipio de Cundinamarca,1.54
0,GENERO,F,100.0
1,GENERO,M,94.56
1,GENERO,F,5.44
2,GENERO,M,64.39
2,GENERO,F,35.61
3,GENERO,F,55.74
3,GENERO,M,44.26
4,GENERO,M,61.93
4,GENERO,F,38.07
5,GENERO,M,55.33
5,GENERO,F,44.67
6,GENERO,M,100.0
7,GENERO,M,52.43
7,GENERO,F,47.57
8,GENERO,M,55.03
8,GENERO,F,44.97
9,GENERO,F,52.94
9,GENERO,M,47.06
10,GENERO,M,50.9
10,GENERO,F,49.1
11,GENERO,F,54.18
11,GENERO,M,45.82
0,PIRAMIDE_NUEVA,5 Micro Transaccional,52.64
0,PIRAMIDE_NUEVA,2 Medianas,21.84
0,PIRAMIDE_NUEVA,3 Empresarial Top,15.41
0,PIRAMIDE_NUEVA,4 Empresarial Estandar,6.15
0,PIRAMIDE_NUEVA,1 Grandes,2.78
0,PIRAMIDE_NUEVA,6.1 Facultativo,0.93
0,PIRAMIDE_NUEVA,6.3 Pensionado,0.19
0,PIRAMIDE_NUEVA,Sin dato,0.05
1,PIRAMIDE_NUEVA,6.1 Facultativo,96.46
1,PIRAMIDE_NUEVA,4 Empresarial Estandar,3.52
1,PIRAMIDE_NUEVA,5 Micro Transaccional,0.01
1,PIRAMIDE_NUEVA,2 Medianas,0.01
1,PIRAMIDE_NUEVA,3 Empresarial Top,0.0
1,PIRAMIDE_NUEVA,1 Grandes,0.0
2,PIRAMIDE_NUEVA,5 Micro Transaccional,42.35
2,PIRAMIDE_NUEVA,2 Medianas,25.86
2,PIRAMIDE_NUEVA,3 Empresarial Top,16.13
2,PIRAMIDE_NUEVA,1 Grandes,10.0
2,PIRAMIDE_NUEVA,4 Empresarial Estandar,5.47
2,PIRAMIDE_NUEVA,6.1 Facultativo,0.13
2,PIRAMIDE_NUEVA,6.3 Pensionado,0.05
3,PIRAMIDE_NUEVA,6.2 Independiente,98.4
3,PIRAMIDE_NUEVA,6.1 Facultativo,1.49
3,PIRAMIDE_NUEVA,5 Micro Transaccional,0.11
4,PIRAMIDE_NUEVA,5 Micro Transaccional,36.38
4,PIRAMIDE_NUEVA,2 Medianas,33.57
4,PIRAMIDE_NUEVA,3 Empresarial Top,17.28
4,PIRAMIDE_NUEVA,1 Grandes,8.08
4,PIRAMIDE_NUEVA,4 Empresarial Estandar,4.05
4,PIRAMIDE_NUEVA,6.1 Facultativo,0.46
4,PIRAMIDE_NUEVA,6.3 Pensionado,0.16
4,PIRAMIDE_NUEVA,Sin dato,0.01
5,PIRAMIDE_NUEVA,Sin dato,100.0
6,PIRAMIDE_NUEVA,5 Micro Transaccional,58.75
6,PIRAMIDE_NUEVA,2 Medianas,18.49
6,PIRAMIDE_NUEVA,3 Empresarial Top,12.98
6,PIRAMIDE_NUEVA,4 Empresarial Estandar,7.31
6,PIRAMIDE_NUEVA,1 Grandes,1.5
6,PIRAMIDE_NUEVA,6.1 Facultativo,0.8
6,PIRAMIDE_NUEVA,6.3 Pensionado,0.12
6,PIRAMIDE_NUEVA,Sin dato,0.05
7,PIRAMIDE_NUEVA,1 Grandes,92.86
7,PIRAMIDE_NUEVA,2 Medianas,7.14
8,PIRAMIDE_NUEVA,2 Medianas,35.99
8,PIRAMIDE_NUEVA,5 Micro Transaccional,30.56
8,PIRAMIDE_NUEVA,3 Empresarial Top,18.15
8,PIRAMIDE_NUEVA,1 Grandes,9.02
8,PIRAMIDE_NUEVA,4 Empresarial Estandar,2.74
8,PIRAMIDE_NUEVA,6.1 Facultativo,2.05
8,PIRAMIDE_NUEVA,6.2 Independiente,1.49
8,PIRAMIDE_NUEVA,6.3 Pensionado,0.01
9,PIRAMIDE_NUEVA,1 Grandes,98.22
9,PIRAMIDE_NUEVA,2 Medianas,1.76
9,PIRAMIDE_NUEVA,Sin dato,0.02
10,PIRAMIDE_NUEVA,5 Micro Transaccional,45.62
10,PIRAMIDE_NUEVA,6.3 Pensionado,38.22
10,PIRAMIDE_NUEVA,3 Empresarial Top,6.47
10,PIRAMIDE_NUEVA,2 Medianas,4.18
10,PIRAMIDE_NUEVA,4 Empresarial Estandar,4.16
10,PIRAMIDE_NUEVA,6.1 Facultativo,1.21
10,PIRAMIDE_NUEVA,1 Grandes,0.14
10,PIRAMIDE_NUEVA,Sin dato,0.0
11,PIRAMIDE_NUEVA,5 Micro Transaccional,36.29
11,PIRAMIDE_NUEVA,2 Medianas,34.1
11,PIRAMIDE_NUEVA,3 Empresarial Top,18.82
11,PIRAMIDE_NUEVA,1 Grandes,5.45
11,PIRAMIDE_NUEVA,4 Empresarial Estandar,5.04
11,PIRAMIDE_NUEVA,6.1 Facultativo,0.24
11,PIRAMIDE_NUEVA,Sin dato,0.05
0,RANGO_EDAD,36 a 45 años,38.48
0,RANGO_EDAD,20 a 35 años,36.82
0,RANGO_EDAD,46 a 55 años,23.56
0,RANGO_EDAD,Mayor de 55 años,1.14
1,RANGO_EDAD,20 a 35 años,80.6
1,RANGO_EDAD,36 a 45 años,19.4
2,RANGO_EDAD,20 a 35 años,90.84
2,RANGO_EDAD,Menor de 19 años,8.46
2,RANGO_EDAD,36 a 45 años,0.43
2,RANGO_EDAD,46 a 55 años,0.28
3,RANGO_EDAD,20 a 35 años,30.4
3,RANGO_EDAD,36 a 45 años,28.82
3,RANGO_EDAD,46 a 55 años,23.39
3,RANGO_EDAD,Mayor de 55 años,17.29
3,RANGO_EDAD,Menor de 19 años,0.1
4,RANGO_EDAD,46 a 55 años,46.63
4,RANGO_EDAD,36 a 45 años,32.1
4,RANGO_EDAD,Mayor de 55 años,21.26
4,RANGO_EDAD,20 a 35 años,0.0
5,RANGO_EDAD,20 a 35 años,58.51
5,RANGO_EDAD,36 a 45 años,18.25
5,RANGO_EDAD,Menor de 19 años,10.35
5,RANGO_EDAD,46 a 55 años,8.64
5,RANGO_EDAD,Mayor de 55 años,4.24
6,RANGO_EDAD,36 a 45 años,40.61
6,RANGO_EDAD,20 a 35 años,28.2
6,RANGO_EDAD,46 a 55 años,26.56
6,RANGO_EDAD,Mayor de 55 años,4.63
7,RANGO_EDAD,20 a 35 años,85.59
7,RANGO_EDAD,36 a 45 años,11.51
7,RANGO_EDAD,Menor de 19 años,2.91
8,RANGO_EDAD,20 a 35 años,84.43
8,RANGO_EDAD,36 a 45 años,14.13
8,RANGO_EDAD,Menor de 19 años,1.43
8,RANGO_EDAD,Mayor de 55 años,0.0
8,RANGO_EDAD,46 a 55 años,0.0
9,RANGO_EDAD,36 a 45 años,39.16
9,RANGO_EDAD,46 a 55 años,27.06
9,RANGO_EDAD,20 a 35 años,19.77
9,RANGO_EDAD,Mayor de 55 años,14.0
9,RANGO_EDAD,Menor de 19 años,0.0
10,RANGO_EDAD,Mayor de 55 años,95.42
10,RANGO_EDAD,46 a 55 años,4.55
10,RANGO_EDAD,36 a 45 años,0.03
10,RANGO_EDAD,Menor de 19 años,0.0
11,RANGO_EDAD,20 a 35 años,47.02
11,RANGO_EDAD,36 a 45 años,44.99
11,RANGO_EDAD,46 a 55 años,7.97
11,RANGO_EDAD,Menor de 19 años,0.02
11,RANGO_EDAD,Mayor de 55 años,0.0
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,55.59
0,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,28.44
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,11.21
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,3.07
0,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,1.56
0,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.12
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
1,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,100.0
