clase,pct_con_hijos_probable,relevancia_educativo_timing,relevancia_viajes_timing,accion_ventana_prima
0,69.9,alta,baja,Ventana de alivio/cupo -- recordatorio de rotativo día a día
1,0.0,baja,baja,Ventana de alivio/cupo -- recordatorio de rotativo día a día
2,7.0,baja,baja,Ventana de alivio/cupo -- recordatorio de rotativo día a día
3,42.4,media,baja,Ventana para compra de cartera (usar el efectivo extra de la prima para consolidar)
4,32.3,media,baja,Ventana para compra de cartera (usar el efectivo extra de la prima para consolidar)
5,0.0,baja,baja,Ventana neutra -- sin acción prioritaria específica
6,59.8,alta,baja,Ventana de alivio/cupo -- recordatorio de rotativo día a día
7,5.4,baja,alta,Ventana de alivio/cupo -- recordatorio de rotativo día a día
8,0.0,baja,alta,Ventana de alivio/cupo -- recordatorio de rotativo día a día
9,62.6,alta,baja,Ventana para compra de cartera (usar el efectivo extra de la prima para consolidar)
10,3.6,baja,baja,Ventana para compra de cartera (usar el efectivo extra de la prima para consolidar)
11,97.1,alta,baja,Ventana de alivio/cupo -- recordatorio de rotativo día a día
