clase,sensibilidad_inflacion_index,atractivo_compra_cartera,implicacion_producto
0,1.0,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
1,1.0,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
2,1.0,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
3,0.687,"alto (propensión ya real en vector de interés + tasa BanRep 12%, muy sobre la meta)",Sensibilidad a inflación media -- sin ajuste fuerte
4,0.71,"alto (propensión ya real en vector de interés + tasa BanRep 12%, muy sobre la meta)",Subir prioridad de Rotativo día a día/cupo
5,0.301,bajo/medio (sin propensión previa de consolidación),Baja sensibilidad a inflación -- foco en otros ejes
6,1.0,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
7,0.841,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
8,0.834,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
9,0.738,"alto (propensión ya real en vector de interés + tasa BanRep 12%, muy sobre la meta)",Subir prioridad de Rotativo día a día/cupo
10,0.997,"alto (propensión ya real en vector de interés + tasa BanRep 12%, muy sobre la meta)",Subir prioridad de Rotativo día a día/cupo
11,0.874,bajo/medio (sin propensión previa de consolidación),Subir prioridad de Rotativo día a día/cupo
